 10/09/1812 Fri 04:35:32  255456ec42 "toward her."
 10/09/1812 Fri 20:10:22  72860d8471 "turned the heads of the Moscow ladies, especially by the fact that"
 10/09/1812 Fri 20:11:37  b5c9fe24fd "he slighted them and plainly preferred the gypsy girls and French"
 10/09/1812 Fri 20:12:40  4930ba8808 "actresses—with the chief of whom, Mademoiselle George, he was said to"
 10/09/1812 Fri 20:14:38  645a289104 "be on intimate relations. He had never missed a carousal at Danílov’s"
 10/09/1812 Fri 20:16:20  6f504e8050 "or other Moscow revelers’, drank whole nights through, outvying"
 10/09/1812 Fri 20:17:42  808f7e2a4b "everyone else, and was at all the balls and parties of the best society."
 10/09/1812 Fri 20:18:26  2146a81798 "There was talk of his intrigues with some of the ladies, and he flirted"
 10/09/1812 Fri 20:20:46  b2ce693f8d "with a few of them at the balls. But he did not run after the unmarried"
 10/09/1812 Fri 20:22:49  0246990b7b "girls, especially the rich heiresses who were most of them plain."
 10/09/1812 Fri 20:24:14  9dae38a7b3 "There was a special reason for this, as he had got married two years"
 10/09/1812 Fri 20:26:10  5eaf918552 "before—a fact known only to his most intimate friends. At that time"
 10/09/1812 Fri 20:27:20  afc65049c9 "while with his regiment in Poland, a Polish landowner of small means had"
 10/09/1812 Fri 20:29:36  2fc1b20009 "forced him to marry his daughter. Anatole had very soon abandoned his"
 10/09/1812 Fri 20:31:59  d07ab3ddee "wife and, for a payment which he agreed to send to his father-in-law,"
 10/09/1812 Fri 20:33:43  55624cac41 "had arranged to be free to pass himself off as a bachelor."
 10/09/1812 Fri 20:35:41  c0deace001 "Anatole was always content with his position, with himself, and with"
 10/09/1812 Fri 20:37:43  0cae820f42 "others. He was instinctively and thoroughly convinced that it was"
 10/09/1812 Fri 20:40:09  72f3038c3e "impossible for him to live otherwise than as he did and that he had"
 10/09/1812 Fri 20:40:41  6735ca125f "never in his life done anything base. He was incapable of considering"
 10/09/1812 Fri 20:42:15  9c35e362c6 "how his actions might affect others or what the consequences of this or"
 10/09/1812 Fri 20:44:10  6dd9de689d "that action of his might be. He was convinced that, as a duck is so made"
 10/09/1812 Fri 20:46:33  5f16bb4ef9 "that it must live in water, so God had made him such that he must spend"
 10/09/1812 Fri 20:48:28  fa63615ec7 "thirty thousand rubles a year and always occupy a prominent position in"
 10/09/1812 Fri 20:49:26  e4c8ee16f1 "society. He believed this so firmly that others, looking at him, were"
 10/09/1812 Fri 20:50:56  152284c5ae "persuaded of it too and did not refuse him either a leading place"
 10/09/1812 Fri 20:51:50  bb94b75031 "in society or money, which he borrowed from anyone and everyone and"
 10/09/1812 Fri 20:53:19  e2a611b1ad "evidently would not repay."
 10/09/1812 Fri 20:54:27  b3739ff2c0 "He was not a gambler, at any rate he did not care about winning. He was"
 10/09/1812 Fri 20:55:13  92d2de7abd "not vain. He did not mind what people thought of him. Still less could"
 10/09/1812 Fri 20:56:28  72cfc90486 "he be accused of ambition. More than once he had vexed his father by"
 10/09/1812 Fri 20:57:08  1e57bfb30e "spoiling his own career, and he laughed at distinctions of all kinds. He"
 10/09/1812 Fri 20:58:39  8cb4e0197f "was not mean, and did not refuse anyone who asked of him. All he cared"
 10/09/1812 Fri 21:00:27  78c44e14ab "about was gaiety and women, and as according to his ideas there"
 10/09/1812 Fri 21:02:35  7b77d1705c "was nothing dishonorable in these tastes, and he was incapable of"
 10/09/1812 Fri 21:03:18  cbbee2b5f1 "considering what the gratification of his tastes entailed for others,"
 10/09/1812 Fri 21:03:51  c0deace001 "he honestly considered himself irreproachable, sincerely despised rogues"
 10/09/1812 Fri 21:06:16  587a7e9d1b "and bad people, and with a tranquil conscience carried his head high."
 10/09/1812 Fri 21:08:22  02c6ce9d35 "Rakes, those male Magdalenes, have a secret feeling of innocence"
 10/09/1812 Fri 21:09:32  54551f325a "similar to that which female Magdalenes have, based on the same hope of"
 10/09/1812 Fri 21:11:23  fe33476eba "forgiveness. “All will be forgiven her, for she loved much; and all"
 10/09/1812 Fri 21:12:01  7dafee4e92 "will be forgiven him, for he enjoyed much.”"
 10/09/1812 Fri 21:12:49  0d962f2ab8 "Dólokhov, who had reappeared that year in Moscow after his exile and"
 10/09/1812 Fri 21:14:33  94c8f00abf "his Persian adventures, and was leading a life of luxury, gambling, and"
 10/09/1812 Fri 21:16:26  b7a605126f "dissipation, associated with his old Petersburg comrade Kurágin and"
 10/09/1812 Fri 21:18:42  50062647ce "made use of him for his own ends."
 10/09/1812 Fri 21:20:11  4e2a8f7fd0 "Anatole was sincerely fond of Dólokhov for his cleverness and"
 10/09/1812 Fri 21:21:28  6dbfa97223 "audacity. Dólokhov, who needed Anatole Kurágin’s name, position, and"
 10/09/1812 Fri 21:23:32  183b82a6ac "connections as a bait to draw rich young men into his gambling set, made"
 10/09/1812 Fri 21:24:55  2c1339a4cd "use of him and amused himself at his expense without letting the other"
 10/09/1812 Fri 21:27:16  312da156ea "feel it. Apart from the advantage he derived from Anatole, the very"
 10/09/1812 Fri 21:28:46  b74a9bf84b "process of dominating another’s will was in itself a pleasure, a"
 10/09/1812 Fri 21:30:02  6cc2d335c7 "habit, and a necessity to Dólokhov."
 10/09/1812 Fri 21:31:41  bca57aa28f "Natásha had made a strong impression on Kurágin. At supper after"
 10/09/1812 Fri 21:33:31  050db1f502 "the opera he described to Dólokhov with the air of a connoisseur the"
 10/09/1812 Fri 21:35:47  c0deace001 "attractions of her arms, shoulders, feet, and hair and expressed his"
 10/09/1812 Fri 21:36:36  383b767341 "intention of making love to her. Anatole had no notion and was incapable"
 10/09/1812 Fri 21:37:30  3dd2cc1984 "of considering what might come of such love-making, as he never had any"
 10/09/1812 Fri 21:39:41  3435f0b49b "notion of the outcome of any of his actions."
 10/09/1812 Fri 21:41:15  e75676421e "“She’s first-rate, my dear fellow, but not for us,” replied"
 10/09/1812 Fri 21:42:19  a10b59c414 "Dólokhov."
 10/09/1812 Fri 21:43:32  6af34c3523 "“I will tell my sister to ask her to dinner,” said Anatole."
 10/09/1812 Fri 21:44:16  0481e828e3 "“Eh?”"
 10/09/1812 Fri 21:44:51  11ee89d848 "“You’d better wait till she’s married....”"
 10/09/1812 Fri 21:46:09  401946aeb2 "“You know, I adore little girls, they lose their heads at once,”"
 10/09/1812 Fri 21:46:56  0420ab378b "pursued Anatole."
 10/09/1812 Fri 21:49:08  ea589a45fc "“You have been caught once already by a ‘little girl,’” said"
 10/09/1812 Fri 21:50:22  5de2de261f "Dólokhov who knew of Kurágin’s marriage. “Take care!”"
 10/09/1812 Fri 21:52:46  2a71fbec34 "“Well, that can’t happen twice! Eh?” said Anatole, with a"
 10/09/1812 Fri 21:53:38  37e7d86587 "good-humored laugh."
 10/09/1812 Fri 21:56:05  179601db55 "CHAPTER XII"
 10/09/1812 Fri 21:58:29  be915ac296 "The day after the opera the Rostóvs went nowhere and nobody came to see"
 10/09/1812 Fri 21:59:31  68048c8b1e "them. Márya Dmítrievna talked to the count about something which they"
 10/09/1812 Fri 22:01:13  8905059e60 "concealed from Natásha. Natásha guessed they were talking about the"
 10/09/1812 Fri 22:03:00  eae16009cb "old prince and planning something, and this disquieted and offended her."
 10/09/1812 Fri 22:03:49  bb02197580 "She was expecting Prince Andrew any moment and twice that day sent a"
 10/09/1812 Fri 22:04:22  52715b5ecd "manservant to the Vozdvízhenka to ascertain whether he had come. He had"
 10/09/1812 Fri 22:06:49  b4ed7e9492 "not arrived. She suffered more now than during her first days in Moscow."
 10/09/1812 Fri 22:09:12  bbffc0d4e0 "To her impatience and pining for him were now added the unpleasant"
 10/09/1812 Fri 22:10:38  0e410a132b "recollection of her interview with Princess Mary and the old prince,"
 10/09/1812 Fri 22:12:56  74e6f1455f "and a fear and anxiety of which she did not understand the cause. She"
 10/09/1812 Fri 22:14:11  f28ccbaa36 "continually fancied that either he would never come or that something"
 10/09/1812 Fri 22:16:23  cf0dbb76cd "would happen to her before he came. She could no longer think of him by"
 10/09/1812 Fri 22:17:42  c0deace001 "herself calmly and continuously as she had done before. As soon as she"
 10/09/1812 Fri 22:19:33  2c6f1099b3 "began to think of him, the recollection of the old prince, of Princess"
 10/09/1812 Fri 22:20:17  0add28024c "Mary, of the theater, and of Kurágin mingled with her thoughts. The"
 10/09/1812 Fri 22:21:03  c0deace001 "question again presented itself whether she was not guilty, whether she"
 10/09/1812 Fri 22:23:29  d10823d9be "had not already broken faith with Prince Andrew, and again she found"
 10/09/1812 Fri 22:25:11  82ac178b38 "herself recalling to the minutest detail every word, every gesture, and"
 10/09/1812 Fri 22:25:53  ff3e7e4a08 "every shade in the play of expression on the face of the man who had"
 10/09/1812 Fri 22:26:54  0e10473ada "been able to arouse in her such an incomprehensible and terrifying"
 10/09/1812 Fri 22:28:51  b1f703c3f1 "feeling. To the family Natásha seemed livelier than usual, but she was"
 10/09/1812 Fri 22:29:30  50e9e18951 "far less tranquil and happy than before."
 10/09/1812 Fri 22:31:19  18410cd027 "On Sunday morning Márya Dmítrievna invited her visitors to Mass at her"
 10/09/1812 Fri 22:33:33  129364a3c8 "parish church—the Church of the Assumption built over the graves of"
 10/09/1812 Fri 22:35:54  973b76dcc8 "victims of the plague."
 10/09/1812 Fri 22:38:19  d3e28ed1e4 "“I don’t like those fashionable churches,” she said, evidently"
 10/09/1812 Fri 22:40:19  8bd4473887 "priding herself on her independence of thought. “God is the same"
 10/09/1812 Fri 22:40:54  0414bf2351 "everywhere. We have an excellent priest, he conducts the service"
 10/09/1812 Fri 22:43:17  6075cb461e "decently and with dignity, and the deacon is the same. What holiness is"
 10/09/1812 Fri 22:45:04  c8cbc7105f "there in giving concerts in the choir? I don’t like it, it’s just"
 10/09/1812 Fri 22:46:11  c0deace001 "self-indulgence!”"
 10/09/1812 Fri 22:47:15  c0deace001 "Márya Dmítrievna liked Sundays and knew how to keep them. Her whole"
 10/09/1812 Fri 22:48:37  b33be03367 "house was scrubbed and cleaned on Saturdays; neither she nor the"
 10/09/1812 Fri 22:49:38  dbbb0fbcda "servants worked, and they all wore holiday dress and went to church. At"
 10/09/1812 Fri 22:50:50  f3aaf16dd0 "her table there were extra dishes at dinner, and the servants had vodka"
 10/09/1812 Fri 22:53:00  558e7107c3 "and roast goose or suckling pig. But in nothing in the house was the"
 10/09/1812 Fri 22:53:42  09d7a560c6 "holiday so noticeable as in Márya Dmítrievna’s broad, stern face,"
 10/09/1812 Fri 22:55:31  74a795eb47 "which on that day wore an invariable look of solemn festivity."
 10/09/1812 Fri 22:57:23  b897f31a5c "After Mass, when they had finished their coffee in the dining room"
 10/09/1812 Fri 22:58:46  9df9999c44 "where the loose covers had been removed from the furniture, a servant"
 10/09/1812 Fri 23:00:33  6e46ee8007 "announced that the carriage was ready, and Márya Dmítrievna rose with"
 10/09/1812 Fri 23:01:38  183083fb87 "a stern air. She wore her holiday shawl, in which she paid calls, and"
 10/09/1812 Fri 23:03:16  a8d1d3412d "announced that she was going to see Prince Nicholas Bolkónski to have"
 10/09/1812 Fri 23:05:19  38972d7962 "an explanation with him about Natásha."
 10/09/1812 Fri 23:06:02  0cef5b9649 "After she had gone, a dressmaker from Madame Suppert-Roguet waited on"
 10/09/1812 Fri 23:07:28  fca536ecf4 "the Rostóvs, and Natásha, very glad of this diversion, having shut"
 10/09/1812 Fri 23:08:44  8496ef1a2f "herself into a room adjoining the drawing room, occupied herself trying"
 10/09/1812 Fri 23:09:31  2230d0d6e0 "on the new dresses. Just as she had put on a bodice without sleeves and"
 10/09/1812 Fri 23:11:28  96b6e52cfb "only tacked together, and was turning her head to see in the glass how"
 10/09/1812 Fri 23:12:11  b1ae986b2b "the back fitted, she heard in the drawing room the animated sounds"
 10/09/1812 Fri 23:13:07  b3891d1f97 "of her father’s voice and another’s—a woman’s—that made her"
 10/09/1812 Fri 23:14:15  3b3a47dea7 "flush. It was Hélène. Natásha had not time to take off the bodice"
 10/09/1812 Fri 23:16:34  14e0b1a236 "before the door opened and Countess Bezúkhova, dressed in a purple"
 10/09/1812 Fri 23:17:13  a5f3788a42 "velvet gown with a high collar, came into the room beaming with"
 10/09/1812 Fri 23:18:09  7650bc4de7 "good-humored amiable smiles."
 10/09/1812 Fri 23:19:51  52e63d76b7 "“Oh, my enchantress!” she cried to the blushing Natásha."
 10/09/1812 Fri 23:20:27  4dedb2abe3 "“Charming! No, this is really beyond anything, my dear count,” said"
 10/09/1812 Fri 23:21:08  c0deace001 "she to Count Rostóv who had followed her in. “How can you live in"
 10/09/1812 Fri 23:22:21  4ef6eb1a49 "Moscow and go nowhere? No, I won’t let you off! Mademoiselle George"
 10/09/1812 Fri 23:23:51  562b0fbfc0 "will recite at my house tonight and there’ll be some people, and if"
 10/09/1812 Fri 23:25:16  d40c69fcd9 "you don’t bring your lovely girls—who are prettier than Mademoiselle"
 10/09/1812 Fri 23:27:18  1507a180b4 "George—I won’t know you! My husband is away in Tver or I would send"
 10/09/1812 Fri 23:29:40  4381e07c3f "him to fetch you. You must come. You positively must! Between eight and"
 10/09/1812 Fri 23:31:29  ae2bb33412 "nine.”"
 10/09/1812 Fri 23:32:05  30f654b210 "She nodded to the dressmaker, whom she knew and who had curtsied"
 10/09/1812 Fri 23:34:07  884d957e88 "respectfully to her, and seated herself in an armchair beside the"
 10/09/1812 Fri 23:36:00  ff0ed9c58a "looking glass, draping the folds of her velvet dress picturesquely. She"
 10/09/1812 Fri 23:37:55  646b4cb159 "did not cease chattering good-naturedly and gaily, continually praising"
 10/09/1812 Fri 23:39:11  1f99d33e4c "Natásha’s beauty. She looked at Natásha’s dresses and praised"
 10/09/1812 Fri 23:39:57  c60c3ea128 "them, as well as a new dress of her own made of “metallic gauze,”"
 10/09/1812 Fri 23:41:09  67fe82d3a4 "which she had received from Paris, and advised Natásha to have one like"
 10/09/1812 Fri 23:43:01  a5ca4ce07a "it."
 10/09/1812 Fri 23:44:47  e84d16b8ad "“But anything suits you, my charmer!” she remarked."
 10/09/1812 Fri 23:45:25  eb7428cfa6 "A smile of pleasure never left Natásha’s face. She felt happy and as"
 10/09/1812 Fri 23:47:22  f7922d577c "if she were blossoming under the praise of this dear Countess Bezúkhova"
 10/09/1812 Fri 23:48:04  87ca85593b "who had formerly seemed to her so unapproachable and important and was"
 10/09/1812 Fri 23:49:28  781ade2492 "now so kind to her. Natásha brightened up and felt almost in love with"
 10/09/1812 Fri 23:51:42  b28d0eac50 "this woman, who was so beautiful and so kind. Hélène for her part was"
 10/09/1812 Fri 23:53:43  9c44facabe "sincerely delighted with Natásha and wished to give her a good time."
 10/09/1812 Fri 23:55:12  ff741aa235 "Anatole had asked her to bring him and Natásha together, and she was"
 10/09/1812 Fri 23:55:44  cbb5336438 "calling on the Rostóvs for that purpose. The idea of throwing her"
 10/09/1812 Fri 23:56:16  d8e54c1f0a "brother and Natásha together amused her."
 10/09/1812 Fri 23:57:26  0e8378c209 "Though at one time, in Petersburg, she had been annoyed with Natásha"
 10/09/1812 Fri 23:57:59  0f4f588fbb "for drawing Borís away, she did not think of that now, and in her own"
 10/09/1812 Fri 23:58:57  7463ba1f9d "way heartily wished Natásha well. As she was leaving the Rostóvs she"
 10/10/1812 Sat 00:01:11  0ebe8ea0a9 "called her protégée aside."
 10/10/1812 Sat 00:01:50  1c761ef463 "“My brother dined with me yesterday—we nearly died of laughter—he"
 10/10/1812 Sat 00:02:51  28bfd1f405 "ate nothing and kept sighing for you, my charmer! He is madly, quite"
 10/10/1812 Sat 00:03:26  9cb6f21a40 "madly, in love with you, my dear.”"
 10/10/1812 Sat 00:04:40  44b1297302 "Natásha blushed scarlet when she heard this."
 10/10/1812 Sat 00:06:41  3f974037af "“How she blushes, how she blushes, my pretty!” said Hélène. “You"
 10/10/1812 Sat 00:08:04  15fe899118 "must certainly come. If you love somebody, my charmer, that is not a"
 10/10/1812 Sat 00:08:50  ffca53ae72 "reason to shut yourself up. Even if you are engaged, I am sure your"
 10/10/1812 Sat 00:10:43  6c07793472 "fiancé would wish you to go into society rather than be bored to"
 10/10/1812 Sat 00:11:17  cb5a43cbcb "death.”"
 10/10/1812 Sat 00:12:01  d38b006ed2 "“So she knows I am engaged, and she and her husband Pierre—that good"
 10/10/1812 Sat 00:13:18  a5c27d14e4 "Pierre—have talked and laughed about this. So it’s all right.” And"
 10/10/1812 Sat 00:15:07  76a64c34c9 "again, under Hélène’s influence, what had seemed terrible now seemed"
 10/10/1812 Sat 00:17:09  3a69e14b4c "simple and natural. “And she is such a grande dame, so kind, and"
 10/10/1812 Sat 00:19:12  c0deace001 "evidently likes me so much. And why not enjoy myself?” thought"
 10/10/1812 Sat 00:19:56  e6feec8cc9 "Natásha, gazing at Hélène with wide-open, wondering eyes."
 10/10/1812 Sat 00:21:13  548262196b "Márya Dmítrievna came back to dinner taciturn and serious, having"
 10/10/1812 Sat 00:22:27  71792e6f90 "evidently suffered a defeat at the old prince’s. She was still too"
 10/10/1812 Sat 00:23:11  6745d7b025 "agitated by the encounter to be able to talk of the affair calmly. In"
 10/10/1812 Sat 00:23:55  13b460dc99 "answer to the count’s inquiries she replied that things were all"
 10/10/1812 Sat 00:25:13  727207e8ac "right and that she would tell about it next day. On hearing of Countess"
 10/10/1812 Sat 00:26:43  c80c419d95 "Bezúkhova’s visit and the invitation for that evening, Márya"
 10/10/1812 Sat 00:29:03  be8e57036e "Dmítrievna remarked:"
 10/10/1812 Sat 00:29:53  23d41c1c90 "“I don’t care to have anything to do with Bezúkhova and don’t"
 10/10/1812 Sat 00:32:22  b879248b69 "advise you to; however, if you’ve promised—go. It will divert your"
 10/10/1812 Sat 00:34:44  b779523020 "thoughts,” she added, addressing Natásha."
 10/10/1812 Sat 00:35:28  a09706bfdb "CHAPTER XIII"
 10/10/1812 Sat 00:36:30  f34211f5b5 "Count Rostóv took the girls to Countess Bezúkhova’s. There were"
 10/10/1812 Sat 00:38:55  a763fe33ec "a good many people there, but nearly all strangers to Natásha. Count"
 10/10/1812 Sat 00:39:59  46fe8a2891 "Rostóv was displeased to see that the company consisted almost entirely"
 10/10/1812 Sat 00:40:37  bfb080b4ab "of men and women known for the freedom of their conduct. Mademoiselle"
 10/10/1812 Sat 00:41:11  c0deace001 "George was standing in a corner of the drawing room surrounded by young"
 10/10/1812 Sat 00:41:55  2c065df530 "men. There were several Frenchmen present, among them Métivier who from"
 10/10/1812 Sat 00:43:06  8395e34fa9 "the time Hélène reached Moscow had been an intimate in her house. The"
 10/10/1812 Sat 00:44:12  364c54faef "count decided not to sit down to cards or let his girls out of his sight"
 10/10/1812 Sat 00:45:41  55c6e74d77 "and to get away as soon as Mademoiselle George’s performance was over."
 10/10/1812 Sat 00:47:08  cf8dc5189d "Anatole was at the door, evidently on the lookout for the Rostóvs."
 10/10/1812 Sat 00:49:29  ebd8296b3d "Immediately after greeting the count he went up to Natásha and followed"
 10/10/1812 Sat 00:50:54  9b3c412649 "her. As soon as she saw him she was seized by the same feeling she had"
 10/10/1812 Sat 00:52:28  fec9d8e6e6 "had at the opera—gratified vanity at his admiration of her and fear at"
 10/10/1812 Sat 00:53:36  53a1bad49d "the absence of a moral barrier between them."
 10/10/1812 Sat 00:54:20  9573b376af "Hélène welcomed Natásha delightedly and was loud in admiration of her"
 10/10/1812 Sat 00:55:26  8dfba40d8c "beauty and her dress. Soon after their arrival Mademoiselle George went"
 10/10/1812 Sat 00:55:59  297419e1bd "out of the room to change her costume. In the drawing room people began"
 10/10/1812 Sat 00:58:10  b9b7cf8816 "arranging the chairs and taking their seats. Anatole moved a chair for"
 10/10/1812 Sat 00:59:22  c0deace001 "Natásha and was about to sit down beside her, but the count, who never"
 10/10/1812 Sat 01:00:17  eefec0caa7 "lost sight of her, took the seat himself. Anatole sat down behind her."
 10/10/1812 Sat 01:01:44  9ce143b8a7 "Mademoiselle George, with her bare, fat, dimpled arms, and a red shawl"
 10/10/1812 Sat 01:03:03  c34455ad61 "draped over one shoulder, came into the space left vacant for her, and"
 10/10/1812 Sat 01:04:47  ffee4d418c "assumed an unnatural pose. Enthusiastic whispering was audible."
 10/10/1812 Sat 01:07:14  b1ac6e2636 "Mademoiselle George looked sternly and gloomily at the audience and"
 10/10/1812 Sat 01:08:24  b2c9357783 "began reciting some French verses describing her guilty love for her"
 10/10/1812 Sat 01:10:20  849aa222ba "son. In some places she raised her voice, in others she whispered,"
 10/10/1812 Sat 01:12:39  5dad20aa76 "lifting her head triumphantly; sometimes she paused and uttered hoarse"
 10/10/1812 Sat 01:13:41  0951f49438 "sounds, rolling her eyes."
 10/10/1812 Sat 01:15:51  58b42bb790 "“Adorable! divine! delicious!” was heard from every side."
 10/10/1812 Sat 01:16:42  1463d77df8 "Natásha looked at the fat actress, but neither saw nor heard nor"
 10/10/1812 Sat 01:17:32  ba4f8755c1 "understood anything of what went on before her. She only felt herself"
 10/10/1812 Sat 01:18:16  6a86bde444 "again completely borne away into this strange senseless world—so"
 10/10/1812 Sat 01:19:15  0ab0bd0c6b "remote from her old world—a world in which it was impossible to know"
 10/10/1812 Sat 01:20:01  5d0594f949 "what was good or bad, reasonable or senseless. Behind her sat Anatole,"
 10/10/1812 Sat 01:21:42  d89df5ca7a "and conscious of his proximity she experienced a frightened sense of"
 10/10/1812 Sat 01:22:47  47f83828a7 "expectancy."
 10/10/1812 Sat 01:24:14  9b093c5d15 "After the first monologue the whole company rose and surrounded"
 10/10/1812 Sat 01:26:31  5870528d9f "Mademoiselle George, expressing their enthusiasm."
 10/10/1812 Sat 01:28:27  257bf3ea76 "“How beautiful she is!” Natásha remarked to her father who had also"
 10/10/1812 Sat 01:30:44  a515156b1c "risen and was moving through the crowd toward the actress."
 10/10/1812 Sat 01:32:52  928681d3ae "“I don’t think so when I look at you!” said Anatole, following"
 10/10/1812 Sat 01:33:43  f6caed638e "Natásha. He said this at a moment when she alone could hear him. “You"
 10/10/1812 Sat 01:35:04  961ec60e1f "are enchanting... from the moment I saw you I have never ceased...”"
 10/10/1812 Sat 01:35:42  c0deace001 "“Come, come, Natásha!” said the count, as he turned back for his"
 10/10/1812 Sat 01:37:39  d2355d6931 "daughter. “How beautiful she is!” Natásha without saying anything"
 10/10/1812 Sat 01:38:20  853851736a "stepped up to her father and looked at him with surprised inquiring"
 10/10/1812 Sat 01:38:59  fad3e8ae57 "eyes."
 10/10/1812 Sat 01:39:38  910035de1a "After giving several recitations, Mademoiselle George left, and Countess"
 10/10/1812 Sat 01:40:54  fa15ea2ce7 "Bezúkhova asked her visitors into the ballroom."
 10/10/1812 Sat 01:41:58  589de41219 "The count wished to go home, but Hélène entreated him not to spoil her"
 10/10/1812 Sat 01:43:34  25416bab02 "improvised ball, and the Rostóvs stayed on. Anatole asked Natásha for"
 10/10/1812 Sat 01:45:40  a16dae52aa "a valse and as they danced he pressed her waist and hand and told her"
 10/10/1812 Sat 01:47:50  0b8eb5c88a "she was bewitching and that he loved her. During the écossaise, which"
 10/10/1812 Sat 01:49:24  444cca1875 "she also danced with him, Anatole said nothing when they happened to be"
 10/10/1812 Sat 01:50:10  db7cf93dd4 "by themselves, but merely gazed at her. Natásha lifted her frightened"
 10/10/1812 Sat 01:51:38  8708f68d69 "eyes to him, but there was such confident tenderness in his affectionate"
 10/10/1812 Sat 01:52:53  20f6598ac5 "look and smile that she could not, whilst looking at him, say what she"
 10/10/1812 Sat 01:54:03  fef9bbcaae "had to say. She lowered her eyes."
 10/10/1812 Sat 01:55:03  3f6757ce19 "“Don’t say such things to me. I am betrothed and love another,”"
 10/10/1812 Sat 01:56:39  9a42788285 "she said rapidly.... She glanced at him."
 10/10/1812 Sat 01:58:09  515639ab17 "Anatole was not upset or pained by what she had said."
 10/10/1812 Sat 01:59:15  0970518ae0 "“Don’t speak to me of that! What can I do?” said he. “I tell"
 10/10/1812 Sat 02:01:12  dcd8fb3d3e "you I am madly, madly, in love with you! Is it my fault that you are"
 10/10/1812 Sat 02:02:59  c681d6dca0 "enchanting?... It’s our turn to begin.”"
 10/10/1812 Sat 02:05:16  89003e9ad6 "Natásha, animated and excited, looked about her with wide-open"
 10/10/1812 Sat 02:07:41  8980fd2bf3 "frightened eyes and seemed merrier than usual. She understood hardly"
 10/10/1812 Sat 02:08:25  14e4dee1bb "anything that went on that evening. They danced the écossaise and the"
 10/10/1812 Sat 02:10:29  acde8e886e "Grossvater. Her father asked her to come home, but she begged to remain."
 10/10/1812 Sat 02:12:12  82eeb5006f "Wherever she went and whomever she was speaking to, she felt his eyes"
 10/10/1812 Sat 02:12:43  64939066b6 "upon her. Later on she recalled how she had asked her father to let"
 10/10/1812 Sat 02:14:17  93a40fd93e "her go to the dressing room to rearrange her dress, that Hélène had"
 10/10/1812 Sat 02:16:22  0de814010b "followed her and spoken laughingly of her brother’s love, and that she"
 10/10/1812 Sat 02:17:36  c79dd4b3f6 "again met Anatole in the little sitting room. Hélène had disappeared"
 10/10/1812 Sat 02:19:18  b93cd2f415 "leaving them alone, and Anatole had taken her hand and said in a tender"
 10/10/1812 Sat 02:19:50  9425d95594 "voice:"
 10/10/1812 Sat 02:20:31  c0deace001 "“I cannot come to visit you but is it possible that I shall never see"
 10/10/1812 Sat 02:21:12  26f98753a5 "you? I love you madly. Can I never...?” and, blocking her path, he"
 10/10/1812 Sat 02:22:03  ead7959395 "brought his face close to hers."
 10/10/1812 Sat 02:22:35  15b3d073ed "His large, glittering, masculine eyes were so close to hers that she saw"
 10/10/1812 Sat 02:23:43  82a92eaaa1 "nothing but them."
 10/10/1812 Sat 02:25:32  7cd1428e74 "“Natalie?” he whispered inquiringly while she felt her hands being"
 10/10/1812 Sat 02:27:32  3dc95efd1e "painfully pressed. “Natalie?”"
 10/10/1812 Sat 02:28:12  700b4df4c3 "“I don’t understand. I have nothing to say,” her eyes replied."
 10/10/1812 Sat 02:28:57  bd89e0a5af "Burning lips were pressed to hers, and at the same instant she felt"
 10/10/1812 Sat 02:31:13  e7fcee24ca "herself released, and Hélène’s footsteps and the rustle of her dress"
 10/10/1812 Sat 02:32:52  704c468d20 "were heard in the room. Natásha looked round at her, and then, red"
 10/10/1812 Sat 02:34:22  d3f796e594 "and trembling, threw a frightened look of inquiry at Anatole and moved"
 10/10/1812 Sat 02:35:11  e4827616c2 "toward the door."
 10/10/1812 Sat 02:37:20  66cc0fe385 "“One word, just one, for God’s sake!” cried Anatole."
 10/10/1812 Sat 02:39:48  a1e554b2a7 "She paused. She so wanted a word from him that would explain to her what"
 10/10/1812 Sat 02:41:37  b9b16063cd "had happened and to which she could find no answer."
 10/10/1812 Sat 02:42:23  832dcc39f5 "“Natalie, just a word, only one!” he kept repeating, evidently not"
 10/10/1812 Sat 02:44:19  6729be72fe "knowing what to say and he repeated it till Hélène came up to them."
 10/10/1812 Sat 02:45:17  87d8bbdda6 "Hélène returned with Natásha to the drawing room. The Rostóvs went"
 10/10/1812 Sat 02:45:50  4136129678 "away without staying for supper."
 10/10/1812 Sat 02:47:33  49def0f219 "After reaching home Natásha did not sleep all night. She was tormented"
 10/10/1812 Sat 02:48:38  5b3811d59b "by the insoluble question whether she loved Anatole or Prince Andrew."
 10/10/1812 Sat 02:50:38  c0773604ec "She loved Prince Andrew—she remembered distinctly how deeply she loved"
 10/10/1812 Sat 02:51:34  cf59d60600 "him. But she also loved Anatole, of that there was no doubt. “Else how"
 10/10/1812 Sat 02:52:32  b5256ec741 "could all this have happened?” thought she. “If, after that, I could"
 10/10/1812 Sat 02:53:36  e02ee2da30 "return his smile when saying good-by, if I was able to let it come to"
 10/10/1812 Sat 02:55:59  c0deace001 "that, it means that I loved him from the first. It means that he is"
 10/10/1812 Sat 02:58:08  f25b80bd35 "kind, noble, and splendid, and I could not help loving him. What am I to"
 10/10/1812 Sat 03:00:26  da15f34443 "do if I love him and the other one too?” she asked herself, unable to"
 10/10/1812 Sat 03:02:20  30e83c5e37 "find an answer to these terrible questions."
